country,tournament,season,week,game_id,home_team,home_team_id,away_team,away_team_id,injury_time_1,injury_time_2,start_timestamp,status,home_score_current,home_score_display,home_score_period1,home_score_period2,home_score_normaltime,away_score_current,away_score_display,away_score_period1,away_score_period2,away_score_normaltime
USA,"USL, League Two",2026,1,15587530,Sueño FC,507364,Rochester FC,465630,,,1778954400,Ended,7.0,7.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587533,Asheville City SC,313610,Hickory FC,508947,,,1778959800,Ended,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587534,Philadelphia Lone Star,419436,Eagle FC,1173428,,,1778961600,Ended,5.0,5.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587535,Seacoast United Phantoms,253404,Vermont Green FC,407738,,,1778961600,Ended,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0
USA,"USL, League Two",2026,1,15587536,Brooke House FC,507378,Nona FC,407750,,,1778965200,Ended,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587539,Midwest United FC,407755,Lansing City Football,407759,,,1778968800,Ended,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587537,Minneapolis City,313612,Chicago Dutch Lions FC,407745,,,1778968800,Ended,6.0,6.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587540,Staten Island Asc,507375,Ironbound SC,465622,,,1778968800,Ended,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587541,Akron City FC,414148,FC Buffalo,313627,,,1778972400,Ended,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587522,Birmingham Legion FC 2,507370,East Atlanta FC,380881,,,1778972400,Ended,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587543,Charlotte Independence II,380880,South Carolina United FC,224816,,,1778972400,Ended,3.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587528,Christos FC,253848,Lionsbridge FC,284085,,,1778972400,Ended,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587544,Connecticut Rush,1173429,Boston City FC,253850,,,1778972400,Ended,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587545,Hill City FC,1173430,Loudoun United FC 2,1173420,,,1778972400,Ended,4.0,4.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587531,New England FC,1077315,AC Connecticut,253660,,,1778972400,Ended,4.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587546,Oakland County FC,380876,Union FC Macomb,507374,,,1778972400,Ended,4.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587547,Shark Coast FC,1173431,SC Jacksonville II,1173432,,,1778972400,Ended,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587549,West Chester United,419461,Pennsylvania Classics,414154,,,1778972400,Ended,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587550,Weston FC,253665,Fort Lauderdale United FC,1077309,,,1778972400,Ended,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0
USA,"USL, League Two",2026,1,15587551,Columbus United FC,510443,Apotheos FC,414152,,,1778974200,Ended,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587555,Dothan United SC,507366,Montgomery United FC,1077307,,,1778976000,Ended,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587552,Louisiana Krewe FC,339309,Memphis FC,1173434,,,1778976000,Ended,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587553,Red River FC,1090017,Hattiesburg FC,507368,,,1778976000,Ended,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
USA,"USL, League Two",2026,1,15587554,Sunflower State FC,414143,Saint Louis Ambush,1077482,,,1778976000,Ended,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0,4.0
USA,"USL, League Two",2026,1,15587556,Fort Worth Vaqueros,313656,Lubbock Matadors SC,414147,,,1778977800,Ended,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587557,McKinney Chupacabras FC,1090016,Denton Diablos,313622,,,1778977800,Ended,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587558,Almaden FC,507372,Academica SC,313606,,,1778979600,Ended,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0
USA,"USL, League Two",2026,1,15587560,Colorado International SA,417129,Atletico Union,1173435,,,1778979600,Ended,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,4.0
USA,"USL, League Two",2026,1,15587559,City SC San Diego,1090015,Capo FC 2,517933,,,1778981400,Ended,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0
USA,"USL, League Two",2026,1,15587562,Bangers FC,1090012,Snohomish United,1077314,,,1778983200,Ended,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587563,Southern California Eagles,253421,Amsg FC,507363,,,1778983200,Ended,3.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587565,Pittsburgh Riverhounds 2,1173436,Cleveland Force SC,407744,,,1779048000,Ended,5.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587538,Lakeland United FC,1173423,Miami AC,407746,,,1779055200,Ended,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587566,Port City FC,341745,North Carolina FC U23,253200,,,1779057000,Ended,2.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0
USA,"USL, League Two",2026,1,15587567,San Francisco City,253178,Davis Legacy,407739,,,1779058800,Ended,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587548,Wake FC,316192,Tobacco Road FC,253201,,,1779058800,Ended,2.0,2.0,2.0,0.0,2.0,6.0,6.0,4.0,2.0,6.0
USA,"USL, League Two",2026,1,15587564,Northern Virginia FC,383424,Virginia Beach United,316282,,,1779060600,Ended,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
USA,"USL, League Two",2026,1,15587568,AHFC Royals,284112,Hill Country Lobos,507367,,,1779062400,Ended,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587570,Charlottesville Blues,507376,Annapolis Blues FC,467566,,,1779062400,Ended,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587569,GFI Academy,1173438,Houston FC,253791,,,1779062400,Ended,4.0,4.0,0.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0
USA,"USL, League Two",2026,1,15587571,FC Boston Bolts,253403,Vermont Green FC,407738,,,1779213600,Ended,1.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,1.0,4.0
USA,"USL, League Two",2026,1,15587573,FC Lehigh Valley United,253414,Delaware FC,1088163,,,1779231600,Ended,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
USA,"USL, League Two",2026,1,15587575,Charlotte Eagles,23633,Appalachian FC,381170,,,1779233400,Ended,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0
USA,"USL, League Two",2026,1,15587576,Fort Worth Vaqueros,313656,Texoma FC,1044344,,,1779237000,Ended,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,4.0,7.0
USA,"USL, League Two",2026,1,15587577,Midlakes United,507373,FC Olympia,407749,,,1779240600,Ended,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587609,Southern California Eagles,253421,City SC San Diego,1090015,,,1779242400,Ended,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587578,Flint City Bucks,316283,Lansing City Football,407759,,,1779289200,Ended,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
USA,"USL, League Two",2026,1,15587579,Midwest United FC,407755,AFC Ann Arbor,313628,,,1779310800,Ended,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
USA,"USL, League Two",2026,1,15587580,New Jersey Copa FC,313608,Long Island Rough Riders,253412,,,1779310800,Ended,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
